127.0.0.1 -- [2021-11-14 00:46:17,128]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,129]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:24:39,186]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,232]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,234]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,234]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,235]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,245]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,246]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,247]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:32:40,248]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:34:51,564]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:41:13,329]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,010]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,011]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,012]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,012]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,013]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,013]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,014]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,023]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:42:55,024]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

